"Date","NAME","FinYear","RelSurfaceArea"
1984-05-01,"South Australia","1984",0.256854829701639
1984-05-01,"Tasmania","1984",0.389636423651076
1984-05-01,"Victoria","1984",0.390988452417842
1984-05-01,"Western Australia","1984",0.289148992132418
1984-05-01,NA,"1984",0.335397483642519
1984-06-01,"Australian Capital Territory","1984",0.552160280426764
1984-06-01,"New South Wales","1984",0.366541442941403
1984-06-01,"Northern Territory","1984",0.228576083524387
1984-06-01,"Other Territories","1984",0.518640363818413
1984-06-01,"Queensland","1984",0.402622260377908
1984-06-01,"South Australia","1984",0.265754413262431
1984-06-01,"Tasmania","1984",0.38141247709139
1984-06-01,"Victoria","1984",0.410145875933926
1984-06-01,"Western Australia","1984",0.318741266929484
1984-06-01,NA,"1984",0.32336544911824
1984-07-01,"Australian Capital Territory","1985",0.438345016860308
1984-07-01,"New South Wales","1985",0.374015625051368
1984-07-01,"Northern Territory","1985",0.222687081447425
1984-07-01,"Other Territories","1985",0.531688838963513
1984-07-01,"Queensland","1985",0.397837928056254
1984-07-01,"South Australia","1985",0.281429049406669
1984-07-01,"Tasmania","1985",0.41176980536067
1984-07-01,"Victoria","1985",0.386525596193065
1984-07-01,"Western Australia","1985",0.376170278447339
1984-07-01,NA,"1985",0.371001670034997
1984-08-01,"Australian Capital Territory","1985",0.500411429241427
1984-08-01,"New South Wales","1985",0.425352884371983
1984-08-01,"Northern Territory","1985",0.162315920629011
1984-08-01,"Other Territories","1985",0.476689024807864
